Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
10,50,15,0,0,1,0,1395,13,13,17,1,12297,122,112,238,16
20,50,13,0,0,1,0,1387,13,13,17,1,12476,124,112,160,12
30,50,16,0,0,1,0,1398,13,13,21,1,12552,125,113,220,19
40,50,16,0,0,1,0,1401,13,13,21,1,12002,119,112,169,9
50,50,19,0,0,1,0,1472,14,13,101,8,12359,122,112,174,13
60,50,20,0,0,1,0,1833,18,15,23,1,15825,156,145,220,15
70,50,23,0,0,1,0,1888,18,15,48,3,15337,152,143,218,11
80,50,24,0,0,1,0,2107,20,15,115,11,15569,154,144,222,14
90,50,26,0,0,1,0,1850,18,15,23,1,15664,156,143,204,13
100,50,27,0,0,1,0,1894,18,16,24,1,15908,158,146,216,15
110,50,31,0,0,1,0,2450,24,19,72,8,19250,192,175,242,13
120,50,30,0,0,1,0,2539,25,19,163,19,19089,190,178,229,12
130,50,34,0,0,1,0,2468,24,19,245,22,19220,190,176,270,18
140,50,37,0,0,1,0,2350,23,19,112,9,19037,189,177,284,16
150,50,35,0,0,1,0,2287,22,19,32,2,18897,187,177,320,17
160,50,40,0,0,1,0,3232,32,29,104,7,23917,238,215,344,22
170,50,40,0,0,1,0,3371,33,28,118,12,24335,242,217,346,25
180,50,40,0,0,1,0,3264,32,29,137,10,23185,231,210,329,16
190,50,43,0,0,1,0,3227,32,28,81,5,23322,232,212,385,23
200,50,47,0,0,1,0,3115,31,28,34,1,23932,239,211,392,26
210,50,50,0,0,5,0,5133,51,42,165,14,31367,312,270,423,27
220,50,53,0,0,1,0,5156,51,42,131,9,28391,282,249,390,27
230,50,53,0,0,1,0,5104,50,42,130,11,27900,277,249,377,22
240,50,55,0,0,1,0,5146,51,43,173,14,28001,278,250,414,26
250,50,57,0,0,1,0,4974,49,42,86,5,28808,287,252,534,34
260,50,60,0,0,1,0,6504,64,54,148,10,32445,323,287,454,25
270,50,60,0,0,1,0,6415,64,54,113,8,32541,325,287,434,21
280,50,62,0,0,1,0,6446,64,54,116,8,32384,323,288,380,17
290,50,67,0,0,2,0,6524,65,54,108,7,32437,324,284,429,25
300,50,67,0,0,2,0,6642,66,54,121,9,33002,328,288,524,30
310,50,62,0,0,1,0,8239,82,71,145,11,37264,371,318,540,41
320,50,66,0,0,2,0,8222,82,66,143,9,36370,363,321,489,30
330,50,67,0,0,2,0,8230,82,70,113,6,37478,373,319,533,41
340,50,70,0,0,2,0,8463,84,71,228,16,37151,370,321,538,34
350,50,74,0,0,2,0,8439,84,70,185,11,36414,362,322,463,24
360,50,75,0,0,4,0,10069,100,79,160,10,40567,404,354,528,31
370,50,75,0,0,2,0,9978,99,80,176,12,40490,403,353,567,33
380,50,78,0,0,2,0,9957,99,82,175,11,40568,404,352,648,42
390,50,76,0,0,2,0,9885,98,79,221,14,40904,408,360,496,29
400,50,83,0,0,2,0,9942,99,79,187,12,42290,422,345,645,52
410,50,84,0,0,2,1,10743,107,94,138,6,45893,457,390,638,50
420,50,85,0,0,2,0,10558,105,94,138,6,43882,438,390,561,32
430,50,86,0,0,2,0,10699,106,97,125,5,45234,451,396,621,42
440,50,91,0,0,2,1,10815,108,93,169,10,65683,655,452,2948,337
450,50,94,0,0,2,1,10559,105,91,127,6,52136,519,407,698,44
460,50,90,0,0,7,1,12320,123,106,200,12,57935,578,460,875,67
470,50,96,0,0,2,1,12143,121,107,146,7,65397,652,460,3917,357
480,50,97,0,0,14,1,12252,122,107,215,14,52533,523,433,723,63
490,50,57,0,0,2,0,12745,127,108,251,20,48987,489,431,619,38
500,50,58,0,0,1,0,12635,126,114,204,12,49388,493,431,760,58
510,50,59,0,0,1,0,14374,143,125,365,25,60526,603,471,754,47
520,50,62,0,0,1,0,14175,141,128,224,12,61731,616,492,855,51
530,50,65,0,0,2,0,13959,139,125,255,14,62600,624,516,1071,80
540,50,64,0,0,2,0,13836,138,123,182,9,62568,624,517,804,55
550,50,63,0,0,1,0,13970,139,125,201,10,54210,540,469,734,53
560,50,68,0,0,2,0,15322,153,135,268,16,58547,583,501,826,65
570,50,70,0,0,2,0,15136,151,138,210,10,61792,616,511,845,74
580,50,60,0,0,2,0,15083,150,134,176,7,57110,569,507,733,45
590,50,68,0,0,2,0,15199,151,135,187,10,56835,567,508,734,47
600,50,66,0,0,2,0,15268,152,138,204,10,64080,639,507,3768,332
610,50,72,0,0,2,0,16755,167,152,221,12,62017,618,548,942,64
620,50,65,0,0,2,0,17004,169,153,241,11,61966,617,541,773,63
630,50,73,0,0,2,0,16814,168,154,212,9,61983,619,543,860,64
640,50,73,0,0,2,0,16534,165,151,223,10,62804,626,541,809,62
650,50,75,0,0,2,0,16909,169,154,207,9,63024,628,546,818,66
660,50,74,0,0,2,0,18758,187,173,419,27,64044,639,578,822,47
670,50,72,0,0,2,0,18487,184,173,295,15,67241,670,586,805,50
680,50,80,0,0,2,0,19285,192,172,727,55,66233,660,583,1041,69
690,50,78,0,0,2,0,18351,183,172,232,10,63096,629,579,742,37
700,50,77,0,0,2,0,18413,183,174,231,10,67033,668,583,1085,73
710,50,78,0,0,2,0,20071,200,180,250,10,69323,692,617,910,61
720,50,82,0,0,2,1,19775,197,180,301,14,71569,714,623,880,63
730,50,85,0,0,2,1,19858,198,180,234,9,71713,715,619,940,70
740,50,84,0,0,2,1,20015,200,182,253,12,71611,714,628,990,79
750,50,88,0,0,2,1,19525,195,176,309,15,71483,713,626,978,79
760,50,85,0,0,2,1,20487,204,186,269,11,76858,766,664,1100,89
770,50,91,0,0,2,1,20705,206,188,320,15,75288,751,664,963,71
780,50,92,0,0,2,1,20970,209,186,276,15,77389,772,669,1176,94
790,50,91,0,0,2,1,20792,207,191,286,13,77546,773,673,1306,105
800,50,89,0,0,2,1,20520,205,185,295,14,75300,752,669,1039,76
810,50,96,0,0,2,1,22177,221,205,286,12,79316,792,697,1087,81
820,50,90,0,0,2,1,22309,222,202,300,14,87765,876,712,1238,142
830,50,93,0,0,2,1,22145,221,204,364,17,94767,946,769,1106,56
840,50,94,0,0,2,1,22200,221,207,286,13,78808,786,707,1078,73
850,50,102,1,0,2,0,22071,220,208,260,8,78457,783,715,1047,70
860,50,103,1,0,2,0,23842,238,222,312,15,81398,812,753,953,46
870,50,94,0,0,2,1,23633,236,221,289,10,86021,858,755,1191,89
880,50,102,0,0,2,1,23673,236,220,292,10,88323,881,749,1282,106
890,50,102,0,0,2,1,23506,234,221,275,10,85980,858,749,1130,80
900,50,102,0,0,2,1,24222,242,224,327,19,85345,851,757,1131,86
910,50,103,0,0,4,1,27648,276,243,359,22,88990,888,798,1149,80
920,50,99,0,0,2,1,25607,255,232,363,21,90368,902,801,1174,84
930,50,106,1,0,2,0,26289,262,232,357,25,87681,875,804,1130,69
940,50,101,0,0,2,1,27271,272,236,351,19,92530,924,803,1322,109
950,50,94,0,0,2,1,25019,250,233,412,19,92773,926,812,1299,119
960,50,97,0,0,2,1,26617,266,249,343,15,98220,980,847,1397,122
970,50,106,1,0,2,0,26616,265,249,320,11,99367,991,841,1401,135
980,50,110,1,0,2,0,26474,264,250,349,14,96210,960,849,1287,110
990,50,107,1,0,2,0,26368,263,249,363,16,92655,925,849,1155,68
1000,50,108,1,0,2,0,26369,263,246,326,11,94028,939,859,1246,72